Re,alpha_deg,CL,CD,CM
95204.266,12.826653,1.4105332,0.04985544,-0.036085278
92893.55,12.826653,1.4133301,0.050206393,-0.036198072
90170.22,12.826653,1.416614,0.050660014,-0.03633284
87060.51,12.826653,1.4202507,0.05123647,-0.03647681
83594.37,12.826653,1.4239732,0.05196338,-0.036611773
79805.18,12.826653,1.4273528,0.052880045,-0.036721952
75729.43,12.826653,1.4298571,0.05403977,-0.036789156
71406.375,12.826653,1.4310856,0.055496696,-0.036778975
66877.65,12.826653,1.4311063,0.057236224,-0.036692396
62186.86,12.826653,1.4301615,0.05905449,-0.036503278
57379.188,12.826653,1.4303168,0.060198754,-0.03580912
52500.93,12.826653,1.427418,0.062730275,-0.035713967
47599.07,12.826653,1.4312212,0.064578444,-0.033455223
42720.812,12.826653,1.2101395,0.09006257,-0.043987814
37913.14,12.826653,0.9209714,0.14345603,-0.07859182
33222.35,12.826653,0.8408808,0.16116525,-0.09438731
28693.623,12.826653,0.8164648,0.16442497,-0.09751405
24370.568,12.826653,0.79202765,0.16661438,-0.10008323
20294.82,12.826653,0.7646309,0.1671632,-0.10095702
16505.63,12.826653,0.7322908,0.16527435,-0.099215865
13039.491,12.826653,0.65710294,0.15580739,-0.0816018
9929.784,12.826653,0.65647656,0.1555108,-0.07836805
7206.456,12.826653,0.6566478,0.15676203,-0.07478259
4895.735,12.826653,0.65890586,0.15922482,-0.07032154
3019.874,12.826653,0.6648323,0.16487885,-0.064651765
1596.9388,12.826653,0.67577374,0.17796367,-0.057811357
640.6333,12.826653,0.6435448,0.21447805,-0.04491203
160.16696,12.826653,0.7029923,0.35265976,-0.044642452
99939.836,10.106695,1.3190539,0.029043725,-0.057941478
99459.37,10.106695,1.3190465,0.029081378,-0.057936884
98503.06,10.106695,1.3190355,0.029157177,-0.057927955
97080.125,10.106695,1.3190317,0.029272055,-0.05791489
95204.266,10.106695,1.319052,0.029427504,-0.05789786
92893.55,10.106695,1.3191218,0.02962543,-0.057877176
90170.22,10.106695,1.3192868,0.029868616,-0.057852942
87060.51,10.106695,1.3196127,0.03016158,-0.057827026
83594.37,10.106695,1.3201947,0.030513454,-0.05780554
79805.18,10.106695,1.3211418,0.030943476,-0.057802923
75729.43,10.106695,1.3225412,0.031489354,-0.057845026
71406.375,10.106695,1.3243376,0.032218445,-0.05796672
66877.65,10.106695,1.3259609,0.03324092,-0.058210574
62186.86,10.106695,1.3259888,0.034678265,-0.058632977
57379.188,10.106695,1.3261681,0.03634069,-0.059316196
52500.93,10.106695,1.3325711,0.03844889,-0.061600707
47599.07,10.106695,1.3509572,0.040523287,-0.06163577
42720.812,10.106695,1.0223626,0.085739076,-0.07028936
37913.14,10.106695,0.8388586,0.11125701,-0.080309235
33222.35,10.106695,0.72004867,0.12519336,-0.090225086
28693.623,10.106695,0.6873523,0.12531571,-0.089882195
24370.568,10.106695,0.64865756,0.12464847,-0.086862475
20294.82,10.106695,0.58717966,0.12044353,-0.07435177
16505.63,10.106695,0.562052,0.11842518,-0.06721284
13039.491,10.106695,0.5596314,0.118817054,-0.06414345
9929.784,10.106695,0.5584593,0.12029797,-0.06121973
7206.456,10.106695,0.5568807,0.12285602,-0.057893645
4895.735,10.106695,0.5567636,0.12732393,-0.05392102
3019.874,10.106695,0.5589188,0.13512497,-0.049018405
1596.9388,10.106695,0.5637207,0.15124601,-0.043687787
640.6333,10.106695,0.53466344,0.1921732,-0.034743834
160.16696,10.106695,0.59615815,0.33613807,-0.039940655
99939.836,7.2894053,1.2111161,0.022242203,-0.09168418
99459.37,7.2894053,1.2109623,0.022316255,-0.09169226
98503.06,7.2894053,1.2106335,0.022466894,-0.09170672
97080.125,7.2894053,1.2100824,0.02269942,-0.09172369
95204.266,7.2894053,1.2092249,0.023022624,-0.09173624
92893.55,7.2894053,1.2079277,0.023450216,-0.09173386
90170.22,7.2894053,1.2059808,0.024002958,-0.09170001
87060.51,7.2894053,1.2030556,0.0247132,-0.091612175
83594.37,7.2894053,1.1986566,0.025632158,-0.091443576
79805.18,7.2894053,1.1920696,0.026840966,-0.09116775
75729.43,7.2894053,1.1824366,0.028456869,-0.090765774
71406.375,7.2894053,1.1693916,0.030589443,-0.09022219
66877.65,7.2894053,1.1538765,0.03323458,-0.08952625
62186.86,7.2894053,1.1243432,0.03714361,-0.088254824
57379.188,7.2894053,1.0236715,0.046949446,-0.084866814
52500.93,7.2894053,0.9060057,0.060198866,-0.0832272
47599.07,7.2894053,0.82946104,0.070321485,-0.084369496
42720.812,7.2894053,0.73853695,0.07965834,-0.08672477
37913.14,7.2894053,0.5897629,0.08937471,-0.0823159
33222.35,7.2894053,0.52506614,0.08912945,-0.075603366
28693.623,7.2894053,0.460415,0.08411589,-0.062458076
24370.568,7.2894053,0.4551315,0.0846231,-0.060590327
20294.82,7.2894053,0.4503427,0.08536299,-0.058342837
16505.63,7.2894053,0.4471098,0.08635751,-0.05602656
13039.491,7.2894053,0.44339958,0.0878039,-0.053480208
9929.784,7.2894053,0.43945536,0.090128236,-0.050609957
7206.456,7.2894053,0.43637538,0.09390431,-0.047311712
4895.735,7.2894053,0.43442655,0.09984928,-0.04363018
