alpha_deg,Re,CL,CD,CM
10.106695,62186.86,1.1815169,0.08522497,-0.083972774
10.106695,57379.188,1.111443,0.088065214,-0.07984932
10.106695,52500.93,0.9712303,0.0972416,-0.077242434
10.106695,47599.07,0.8919687,0.105601504,-0.078593425
10.106695,42720.812,0.7995225,0.113389045,-0.08089512
10.106695,37913.14,0.6887333,0.121101655,-0.08346371
10.106695,33222.35,0.6337271,0.12229587,-0.08448687
10.106695,28693.623,0.6050327,0.12101929,-0.08094714
10.106695,24370.568,0.5524092,0.11683493,-0.06991375
10.106695,20294.82,0.5250711,0.11467506,-0.06293339
10.106695,16505.63,0.52248013,0.11511825,-0.060443576
10.106695,13039.491,0.52127683,0.11614983,-0.05793871
10.106695,9929.784,0.5192712,0.1180321,-0.05520529
10.106695,7206.456,0.5169978,0.121177934,-0.05201875
10.106695,4895.735,0.5159076,0.12636793,-0.048210386
10.106695,3019.874,0.5161883,0.13496105,-0.04376677
10.106695,1596.9388,0.5178652,0.15257725,-0.03922227
10.106695,640.6333,0.49748617,0.19490358,-0.032375474
10.106695,160.16696,0.5436285,0.34604192,-0.0372465
7.2894053,99939.836,1.01777,0.056694344,-0.09659692
7.2894053,99459.37,1.0174295,0.056757104,-0.09659385
7.2894053,98503.06,1.0167218,0.056884546,-0.09658669
7.2894053,97080.125,1.0155915,0.057080768,-0.09657289
7.2894053,95204.266,1.0139477,0.057352513,-0.096548446
7.2894053,92893.55,1.0116453,0.057709426,-0.096506245
7.2894053,90170.22,1.0084673,0.058164854,-0.09643381
7.2894053,87060.51,1.0040747,0.05873535,-0.096306704
7.2894053,83594.37,0.9979522,0.05944094,-0.09607994
7.2894053,79805.18,0.98936075,0.060307126,-0.09568165
7.2894053,75729.43,0.9773348,0.061377805,-0.09503554
7.2894053,71406.375,0.96011287,0.062746696,-0.094080456
7.2894053,66877.65,0.93148696,0.06459806,-0.092460565
7.2894053,62186.86,0.88200897,0.06734767,-0.08969677
7.2894053,57379.188,0.82493067,0.07127481,-0.08715393
7.2894053,52500.93,0.772436,0.07600399,-0.085846566
7.2894053,47599.07,0.7200903,0.08081809,-0.08509204
7.2894053,42720.812,0.665764,0.084729895,-0.084883794
7.2894053,37913.14,0.575442,0.08680711,-0.08132439
7.2894053,33222.35,0.41076273,0.082492344,-0.05778775
7.2894053,28693.623,0.4136894,0.08211347,-0.05727035
7.2894053,24370.568,0.4140159,0.082715966,-0.05619527
7.2894053,20294.82,0.41105807,0.08363195,-0.054300144
7.2894053,16505.63,0.40825358,0.084823914,-0.05223162
7.2894053,13039.491,0.40496826,0.086469956,-0.049860336
7.2894053,9929.784,0.40170798,0.089023165,-0.04717647
7.2894053,7206.456,0.39911607,0.09303739,-0.044104252
7.2894053,4895.735,0.3971802,0.09933023,-0.040777773
7.2894053,3019.874,0.39459145,0.10960845,-0.03742912
7.2894053,1596.9388,0.38944265,0.12963296,-0.03425192
7.2894053,640.6333,0.3761767,0.17440994,-0.030376766
7.2894053,160.16696,0.40595704,0.33410165,-0.035669807
4.401914,99939.836,0.7649355,0.038685024,-0.102258824
4.401914,99459.37,0.7644848,0.038751338,-0.10225432
4.401914,98503.06,0.76353794,0.03888585,-0.102239914
4.401914,97080.125,0.7619962,0.039092496,-0.102203205
4.401914,95204.266,0.7596943,0.039377585,-0.10212349
4.401914,92893.55,0.7563806,0.039750487,-0.10196981
4.401914,90170.22,0.75170994,0.040225618,-0.10170237
4.401914,87060.51,0.7452633,0.040826224,-0.10128446
4.401914,83594.37,0.73659515,0.04158974,-0.10070141
4.401914,79805.18,0.7251351,0.042569395,-0.09995324
4.401914,75729.43,0.7095281,0.04381858,-0.09892155
4.401914,71406.375,0.6875181,0.04537907,-0.09730705
4.401914,66877.65,0.6590949,0.047293868,-0.09518045
4.401914,62186.86,0.6274892,0.049576417,-0.09313609
4.401914,57379.188,0.5949456,0.052132934,-0.0913109
4.401914,52500.93,0.5612726,0.05472995,-0.089301385
4.401914,47599.07,0.5247441,0.057196412,-0.086830385
4.401914,42720.812,0.48313692,0.059425835,-0.08370109
4.401914,37913.14,0.43186703,0.061018914,-0.0792531
4.401914,33222.35,0.333871,0.0593306,-0.0645345
4.401914,28693.623,0.26397127,0.05777227,-0.051155355
4.401914,24370.568,0.26587522,0.058746867,-0.05027991
4.401914,20294.82,0.26479742,0.05988998,-0.048589937
4.401914,16505.63,0.26375395,0.061423115,-0.046819527
4.401914,13039.491,0.26208827,0.06364032,-0.044902828
4.401914,9929.784,0.25938803,0.06684464,-0.04275875
4.401914,7206.456,0.25546682,0.071515255,-0.040346283
4.401914,4895.735,0.25134557,0.07867494,-0.037813917
4.401914,3019.874,0.24746332,0.09038358,-0.035264693
4.401914,1596.9388,0.24246767,0.11213968,-0.03306791
4.401914,640.6333,0.23496889,0.15944943,-0.031697895
