Re,alpha_deg,CL_fit,CD_fit,CM_fit
63656.32,-28.753202,-0.83346117,0.3211144,0.07304892
64664.195,-28.753202,-0.8343423,0.32043973,0.07317378
65672.07,-28.753202,-0.8351104,0.3199536,0.073276356
66679.945,-28.753202,-0.835596,0.31980628,0.07332963
67687.82,-28.753202,-0.8357258,0.3200559,0.073319
68695.695,-28.753202,-0.8355435,0.3206474,0.07324763
69703.57,-28.753202,-0.8352027,0.3214247,0.0731365
70711.445,-28.753202,-0.83491653,0.3221717,0.07301952
71719.32,-28.753202,-0.8348954,0.3226752,0.07293436
72727.195,-28.753202,-0.8352721,0.3227899,0.072911575
73735.08,-28.753202,-0.8360503,0.32248873,0.07296486
74742.95,-28.753202,-0.8370919,0.3218774,0.07308602
75750.83,-28.753202,-0.83814853,0.32116905,0.073246434
76758.7,-28.753202,-0.838939,0.32061782,0.073405236
77766.58,-28.753202,-0.83925015,0.32043335,0.07352273
78774.45,-28.753202,-0.8390181,0.32070065,0.073574215
79782.33,-28.753202,-0.83837724,0.32133704,0.07356003
80790.2,-28.753202,-0.8376291,0.32210752,0.07350675
81798.08,-28.753202,-0.83714426,0.32270423,0.0734583
82805.95,-28.753202,-0.8372153,0.32286745,0.07345888
83813.83,-28.753202,-0.83791625,0.3225072,0.07353258
84821.7,-28.753202,-0.83903486,0.32176888,0.073669665
85829.58,-28.753202,-0.84012604,0.3210002,0.07382623
86837.45,-28.753202,-0.8406974,0.3206055,0.07394189
87845.33,-28.753202,-0.84046674,0.32083586,0.073970445
88853.2,-28.753202,-0.83957446,0.3216086,0.07391031
89861.08,-28.753202,-0.8385938,0.3224825,0.07381574
90868.95,-28.753202,-0.8382611,0.32286477,0.07377286
91876.83,-28.753202,-0.838976,0.32241037,0.073843524
92884.71,-28.753202,-0.84035754,0.32139084,0.074005544
93892.586,-28.753202,-0.84128946,0.32068062,0.0741415
94900.46,-28.753202,-0.84077036,0.3210981,0.0741243
95908.336,-28.753202,-0.8392237,0.32235187,0.073973164
96916.21,-28.753202,-0.8388136,0.32274297,0.07392025
97924.086,-28.753202,-0.8407485,0.32126993,0.07413174
98931.96,-28.753202,-0.8408744,0.3211644,0.074176475
99939.836,-28.753202,-0.84059846,0.32141346,0.074147664
160.16696,-28.147871,-0.6623344,0.47003382,0.03420116
1168.0425,-28.147871,-0.80342424,0.30694747,0.072311655
2175.918,-28.147871,-0.75046086,0.30634394,0.069472775
3183.7935,-28.147871,-0.7481649,0.3082775,0.07441494
4191.669,-28.147871,-0.7800262,0.31170523,0.0821658
5199.5444,-28.147871,-0.8115015,0.3224502,0.08591676
6207.42,-28.147871,-0.83100605,0.3351307,0.084944986
7215.2954,-28.147871,-0.8405258,0.3427335,0.081570104
8223.171,-28.147871,-0.8443586,0.34297264,0.07802784
9231.046,-28.147871,-0.84490514,0.33816588,0.07533245
10238.922,-28.147871,-0.84298575,0.3322612,0.07348889
11246.798,-28.147871,-0.8392136,0.32821044,0.0721086
12254.673,-28.147871,-0.8346919,0.32692415,0.070876196
13262.548,-28.147871,-0.83083487,0.32761735,0.06971592
14270.424,-28.147871,-0.8287835,0.328797,0.06873487
15278.3,-28.147871,-0.82894444,0.3291969,0.06808095
16286.175,-28.147871,-0.83089685,0.32828578,0.06782526
17294.049,-28.147871,-0.8336552,0.32629523,0.06791746
18301.924,-28.147871,-0.8361105,0.32392266,0.06821002
19309.8,-28.147871,-0.83743733,0.3219296,0.06852089
20317.676,-28.147871,-0.8373246,0.320818,0.068698674
21325.55,-28.147871,-0.83598274,0.32068378,0.06866502
22333.428,-28.147871,-0.83397245,0.32125068,0.068424225
23341.303,-28.147871,-0.83195174,0.3220316,0.06804439
24349.178,-28.147871,-0.8304339,0.32253036,0.067622855
25357.053,-28.147871,-0.82964075,0.32241195,0.067250356
26364.928,-28.147871,-0.8294747,0.32159021,0.0669844
27372.805,-28.147871,-0.82959944,0.3202233,0.066839024
28380.68,-28.147871,-0.8295915,0.3186339,0.06678948
29388.555,-28.147871,-0.8290958,0.3171912,0.06678785
30396.432,-28.147871,-0.8279493,0.31619534,0.06678236
31404.307,-28.147871,-0.8262293,0.31579617,0.06673458
32412.182,-28.147871,-0.82422936,0.31596652,0.06662945
33420.06,-28.147871,-0.82236683,0.31652653,0.06647659
34427.934,-28.147871,-0.8210634,0.31720972,0.06630412
35435.81,-28.147871,-0.82062566,0.31774318,0.0661477
36443.684,-28.147871,-0.8211617,0.31792358,0.06603871
37451.562,-28.147871,-0.82255125,0.3176654,0.06599486
